,PRICE_PUNE,PRICE_MUMBAI
0,15000,125000
1,20000,29000
2,29000,8500
3,25000,110000
4,23000,91000
5,24000,160000
6,33000,40500
7,18000,195000
8,20000,125000
9,22000,125000
10,85000,65000
11,34000,90000
12,35000,73000
13,27000,190000
14,34000,17500
15,25000,40000
16,72000,24000
17,35000,95000
18,42000,55000
19,48000,36000
20,35000,40000
21,35000,40000
22,27000,350000
23,26000,11000
24,18000,140000
25,60000,52000
26,27000,170000
27,16000,35000
28,135000,93000
29,35000,90000
30,23000,74000
31,22000,75000
32,72000,81000
33,35000,127000
34,55000,128000
35,21000,131000
36,19500,77000
37,20200,65000
38,20000,90000
39,20500,72000
40,21000,73000
41,42000,110000
42,75000,190000
43,48000,17500
44,32000,40000
45,42000,24000
46,35000,24500
47,31000,95000
48,35000,55000
49,24000,45000
50,30000,32000
51,42000,36000
52,27000,40000
53,26000,42000
54,18000,47000
55,16000,60000
56,60000,65000
57,25000,60000
58,17000,90000
59,27000,110000
60,25000,80000
61,25000,60000
62,35000,65000
63,33000,67000
64,25000,70000
65,24000,63000
66,24000,68000
67,24000,65000
68,26000,79000
69,35000,60000
70,23500,70000
71,24000,71000
72,25000,89000
73,28000,45000
74,24000,105000
75,19000,40000
76,20000,43000
77,35000,40000
78,16000,350000
79,135000,800000
80,23000,550000
81,16000,400000
82,35000,120000
83,20000,105000
84,37000,125000
85,35000,100000
86,38000,125000
87,35000,11000
88,165000,110000
89,160000,350000
90,35000,140000
91,35000,110000
92,33000,52000
93,33500,75000
94,28000,240000
95,40000,170000
96,21000,35000
97,34000,100000
98,28500,95000
99,32000,93000
100,23000,90000
101,26000,55000
102,31000,300000
103,25000,300000
104,30000,36000
105,24000,225000
106,85000,120000
107,32000,11500
108,35000,52000
109,66000,65000
110,35000,95000
111,43000,32000
112,23000,41500
113,27000,40000
114,22500,41000
115,21000,41500
116,175000,40000
117,150000,53000
118,180000,40000
119,41000,60000
120,28000,81000
121,16000,35000
122,22000,52000
123,47000,75000
124,13000,65000
125,15000,53000
126,67000,42509
127,16000,28000
128,26000,28500
129,36000,52000
130,22000,175000
131,27000,75000
132,43000,34000
133,27000,24000
134,50000,30000
135,27000,16000
136,19500,41000
137,19000,36000
138,22000,16000
139,25000,68000
140,45000,58000
141,25000,45000
142,25000,50000
143,25000,95000
144,29000,65000
145,18000,15000
146,30000,52000
147,45000,62000
148,23000,55000
149,33000,200000
150,28000,70000
151,45000,17000
152,20000,75000
153,35000,55000
154,23000,130000
155,36000,280000
156,23000,330000
157,14000,300000
158,27000,180000
159,15000,60000
160,26000,225000
161,25000,290000
162,40000,700000
163,25000,100000
164,32000,36000
165,35000,36000
166,23000,75000
167,15000,78000
168,43000,11000
169,24000,133000
170,24000,13500
171,35000,42000
172,15000,11000
173,36000,70000
174,35000,45000
175,28000,69000
176,27000,8500
177,28000,12500
178,27500,33000
179,27500,115000
180,29000,140000
181,60000,170000
182,24500,110000
183,18500,90000
184,22000,12000
185,31990,55000
186,27000,8000
187,23000,70000
188,42000,180000
189,22500,210000
190,24999,180000
191,16000,165000
192,30000,80000
193,23000,230000
194,25000,110000
195,39990,46000
196,24000,43000
197,22000,82000
198,26990,91000
199,60000,94000
200,25990,82000
201,34000,76000
202,30000,79000
203,25000,125000
204,25000,61000
205,33500,64000
206,21000,90000
207,41200,70000
208,45000,300000
209,21500,105000
210,28000,135000
211,36000,65000
212,41000,40000
213,55000,75000
214,30000,75000
215,29000,75000
216,27000,70000
217,26000,75000
218,28000,75000
219,19000,65000
220,26000,70000
221,43000,65000
222,42000,70000
223,26000,80000
224,35000,90000
225,26000,90000
226,27000,100000
227,14000,59000
228,20000,73000
229,21000,83000
230,41000,90000
231,43000,100000
232,32000,63000
233,45000,74000
234,15000,68000
235,40000,75000
236,35000,85000
237,25000,80000
238,42000,95000
239,23000,80000
240,20000,55000
241,22000,55000
242,28000,78000
243,37000,120000
244,21000,125000
245,25000,98000
246,60000,66000
247,24000,80000
248,26000,68000
249,25000,160000
250,40000,285000
251,30000,130000
252,24000,130000
253,27000,125000
254,36000,127000
255,62000,60000
256,24000,190000
257,34000,75000
258,50000,84000
259,32000,70000
260,42000,77000
261,30000,45000
262,22000,80000
263,36000,85000
264,14500,310111
265,20000,320001
266,31000,49000
267,26000,40000
268,45000,80000
269,34000,74000
270,28000,65000
271,28000,85000
272,32000,130000
273,26000,72000
274,27000,88000
275,25000,80000
276,25000,40000
277,40000,44500
278,32000,82000
279,31000,45000
280,36000,42000
281,9000,60000
282,11000,44000
283,46000,350000
284,90000,20000
285,130000,130000
286,44000,75000
287,60000,150000
288,25000,180000
289,30000,250000
290,35000,29000
291,26000,28700
292,45000,25000
293,37000,24500
294,25500,30000
295,38000,28600
296,25000,8500
297,31999,8500
298,25000,99000
299,45000,89000
300,43000,525000
301,34000,360000
302,47000,550000
303,27000,170000
304,25500,35000
305,25000,98000
306,15500,105000
307,25500,125000
308,33000,130000
309,13000,65000
310,49000,85000
311,25000,125000
312,24500,65000
313,25000,20000
314,22000,18000
315,40000,325000
316,36000,32000
317,50000,125000
318,42000,75000
319,36000,75000
320,45000,25500
321,45000,75000
322,36000,90000
323,26000,7000
324,24000,19000
325,48000,130000
326,36000,134000
327,23000,20000
328,17000,35999
329,36000,135000
330,20200,64500
331,28000,100000
332,21500,110000
333,27000,130000
334,28500,65000
335,30000,90000
336,34000,78000
337,27000,65000
338,34000,350000
339,45000,425000
340,30000,60000
341,24000,38000
342,46000,79000
343,40000,68000
344,28000,70000
345,25000,78000
346,70000,74000
347,44000,110000
348,25000,75000
349,15000,65000
350,22000,105000
351,28000,115000
352,27000,65000
353,20000,72000
354,40000,90000
355,20500,44000
356,25000,85000
357,27000,125000
358,15000,120000
359,15000,64000
360,42000,116000
361,21000,300000
362,30000,80000
363,45000,365000
364,38000,75000
365,44000,37000
366,24000,36000
367,33000,75000
368,38000,130000
369,31000,37000
370,38000,35000
371,28000,42000
372,26000,40000
373,12000,30000
374,26000,30000
375,30000,76000
376,19000,80000
377,23500,128000
378,23000,42000
379,34000,14000
380,22000,124000
381,50000,81000
382,50000,220000
383,45000,80000
384,48000,78529
385,23000,78880
386,13000,120000
387,38000,50000
388,19000,45000
389,16000,75000
390,20000,35000
391,25000,12000
392,22000,45000
393,22000,33000
394,115000,78000
395,34000,55000
396,62000,31000
397,85000,8500
398,50000,8700
399,50000,45000
400,19000,8700
401,26000,55000
402,43000,8500
403,29000,60000
404,28000,39000
405,36000,82000
406,38000,12000
407,38000,75000
408,50000,75000
409,43000,131000
410,37000,135000
411,19000,84000
412,30000,76000
413,75000,77000
414,36000,79000
415,18000,81000
416,34000,122000
417,32000,85000
418,34000,86000
419,15500,38000
420,42000,70000
421,19000,58000
422,29000,44000
423,40000,33000
424,45000,115000
425,45000,110000
426,35000,120000
427,35000,180000
428,37000,120000
429,22000,120000
430,26000,85000
431,20000,65000
432,16500,85000
433,23000,44000
434,22000,275000
435,17000,107000
436,28000,130000
437,23000,105000
438,23000,150000
439,20000,155000
440,27000,130000
441,33000,165000
442,43000,110000
443,20000,85000
444,36000,120000
445,27000,50000
446,25000,72000
447,25000,48000
448,26000,58000
449,50000,140000
450,20000,7500
451,44000,65000
452,30000,170000
453,25000,18000
454,32000,27000
455,18000,26000
456,30000,23000
457,23000,22000
458,40000,50000
459,43000,21500
460,55000,170000
461,50000,16500
462,43000,13000
463,35000,16500
464,25000,49500
465,22000,17500
466,24000,21000
467,30000,39000
468,26000,10000
469,40000,82000
470,20000,45000
471,20000,67500
472,27000,46000
473,26000,33000
474,19000,89000
475,28000,87000
476,25000,20000
477,22000,66000
478,30000,45000
479,42000,95000
480,27000,85000
481,28000,89500
482,22000,75000
483,38000,75000
484,17000,11006
485,23000,24000
486,20000,33000
487,45000,75000
488,15000,380000
489,15000,42000
490,37000,60000
491,35000,70000
492,24000,330000
493,26000,150000
494,20500,50000
495,26000,45000
496,22500,32000
497,23000,63000
498,27000,130000
499,27000,42000
500,22000,28000
501,25000,120000
502,27000,61000
503,19000,62000
504,20000,67000
505,27000,70000
506,20000,75000
507,25000,60000
508,36000,58000
509,26000,64000
510,24500,65000
511,35000,80000
512,28000,250000
513,55000,50000
514,22000,50000
515,25000,65000
516,25000,65000
517,28000,73000
518,23000,90000
519,25000,43000
520,21000,52000
521,23000,58000
522,20000,75000
523,30000,82000
524,20000,70000
525,32000,65000
526,17000,90000
527,40000,70000
528,25000,80000
529,33000,70000
530,33000,90000
531,27000,93000
532,41000,125000
533,15000,45000
534,25000,65000
535,23000,95000
536,22000,18000
537,45000,13000
538,42000,16000
539,23000,15500
540,41000,14000
541,18500,17000
542,21000,65000
543,24000,23000
544,42000,29500
545,43000,12000
546,21000,35000
547,30000,80000
548,18000,60000
549,47000,155000
550,30000,110000
551,30000,10000
552,30000,9000
553,32000,16000
554,32000,12000
555,25000,13000
556,30000,9000
557,24000,8500
558,26000,12000
559,25000,11000
560,19500,250000
561,34000,90000
562,40000,42500
563,29000,8500
564,26000,38000
565,115000,21000
566,32000,240000
567,60000,65000
568,40000,26000
569,95000,185000
570,26000,80000
571,52000,420000
572,50000,32000
573,45000,24000
574,75000,21000
575,50000,17500
576,22000,24000
577,34000,28000
578,50000,20000
579,32000,9500
580,25000,16000
581,20000,300000
582,26000,25000
583,35000,35000
584,27000,24000
585,35000,20000
586,36000,25000
587,36000,20000
588,37000,56000
589,35000,56000
590,27000,65000
591,21000,24000
592,20000,25000
593,35000,70000
594,30000,65000
595,18000,69000
596,45000,87000
597,20000,100000
598,26500,55000
599,35000,89000
600,41000,135000
