PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
"₹55,019",3 BHK,"in Borabanda, Hyderabad",2063 sq.ft,,Semi
"₹45,011",3 BHK,"in Kokapet, Hyderabad",2344 sq.ft,,Semi
"₹32,000",2 BHK,"in Hitech City, Hyderabad",1200 sq.ft,Bathrooms2,Semi
"₹23,000",1 BHK,"in Kondapur, Hyderabad",600 sq.ft,Bathrooms1,Semi
"₹23,000",1 BHK,"in Kondapur, Hyderabad",720 sq.ft,,Fully
"₹1,70,000",3 BHK,"in Rai Durg, Hyderabad",2595 sq.ft,,Fully
"₹27,000",2 BHK,"in Kondapur, Hyderabad",1150 sq.ft,Bathrooms1,Semi
"₹40,000",2 BHK,"in Kondapur, Hyderabad",1300 sq.ft,Bathrooms1,Fully
"₹18,000",2 BHK,"in Uppal, Hyderabad",1850 sq.ft,Bathrooms2,Un
"₹15,000",2 BHK,"in Saroornagar, Hyderabad",1200 sq.ft,Bathrooms2,Un
"₹65,000",4 BHK,"in Kondapur, Hyderabad",2280 sq.ft,Bathrooms2,Fully
"₹22,003",1 BHK,"in Kondapur, Hyderabad",800 sq.ft,Bathrooms1,Semi
"₹35,000",2 BHK,"in Kondapur, Hyderabad",1100 sq.ft,Bathrooms2,Fully
"₹35,000",3 BHK,"in Kondapur, Hyderabad",1800 sq.ft,Bathrooms2,Semi
"₹40,000",3 BHK,"in Kondapur, Hyderabad",1850 sq.ft,Bathrooms3,Semi
"₹42,000",3 BHK,"in Kondapur, Hyderabad",1700 sq.ft,,Semi
"₹35,000",2 BHK,"in Madhapur, Hyderabad",1150 sq.ft,Bathrooms2,Semi
"₹70,000",2 BHK,"in Nallagandla, Hyderabad",2444 sq.ft,,Fully
"₹20,000",1 BHK,"in Kondapur, Hyderabad",650 sq.ft,Bathrooms1,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1200 sq.ft,Bathrooms1,Semi
"₹28,000",2 BHK,"in Kondapur, Hyderabad",1250 sq.ft,Bathrooms1,Semi
"₹16,500",1 BHK,"in Kondapur, Hyderabad",750 sq.ft,Bathrooms1,Semi
