Name,Cost,Bhk
VasaviSkyla,₹1.99 Cr - 6.84 Cr,"3, 4, 5 BHK"
ShangrilaAbbham,₹3.5 Cr - 4.9 Cr,"3, 4 BHK"
AsblLandmark,₹1.27 Cr - 2.2 Cr,"3, 3.5, 4 BHK"
Amaranthine,₹1.78 Cr - 6.27 Cr,"3, 4, 5 BHK"
SubishiFortunaTowers,₹1.57 Cr - 1.8 Cr,"3, 4 BHK"
SarkTownhomesNadergul,₹1.25 Cr,3 BHK
SansaCountySectorII,₹2.5 Cr,4 BHK
RisiniaTheEdge,₹76.1 L - 1.14 Cr,"2, 3 BHK"
HivisionHeights,₹93.24 L - 1.58 Cr,"2, 3 BHK"
KesineniNorthscape,₹1.6 Cr - 2.07 Cr,3 BHK
JainFairmountTheARC,₹72.59 L - 1.42 Cr,"2, 3 BHK"
KalpataruAvante,₹1.78 Cr,3 BHK
AnuharGautamiHeights,₹83.3 L - 1.38 Cr,"2, 3 BHK"
KalyanSkyway9,₹89.42 L - 1.46 Cr,"2, 3 BHK"
SriTirumalaMillenniumPhaseIII,₹55.93 L - 83.66 L,"2, 3 BHK"
RiddhiLaxmanCounty,₹3.8 Cr - 4.07 Cr,4 BHK
VathsaSterlingAbode,₹64.65 L - 93.3 L,"2, 3 BHK"
AMRAdityaIlika,₹1.48 Cr - 2.78 Cr,"3, 4 BHK"
ThemeImperial,₹1.38 Cr - 1.99 Cr,"3, 4 BHK"
AarnaPride,₹61.2 L - 79.56 L,"2, 3 BHK"
Spectra,₹1.94 Cr - 2.18 Cr,3 BHK
IRIS,₹7.56 Cr - 16.54 Cr,"4, 6 BHK"
SarkSouthMeadows1,₹1.8 Cr,3 BHK
LansumElDorado,₹1.58 Cr - 1.89 Cr,3 BHK
A2AHomeland,₹1.14 Cr - 1.51 Cr,3 BHK
CandeurCrescent,₹1.59 Cr - 2.75 Cr,3 BHK
HappinessHub,₹72.06 L - 75.95 L,2 BHK
RiddhisTaranto,₹62.32 L - 1.1 Cr,"2, 2.5, 3 BHK"
WesternSprings,₹2.08 Cr - 3.32 Cr,3 BHK
KrishnaKunjCentralCourtyard,₹94.91 L - 1.21 Cr,"3, 4 BHK"
WesternMarina,₹6.02 Cr - 12.0 Cr,4 BHK
QuorizonNavya59Residency,₹70.05 L - 82.65 L,"2, 3 BHK"
PrimeTitania,₹62.1 L - 1.2 Cr,"2, 3 BHK"
Myra,₹2.42 Cr - 2.87 Cr,4 BHK
MakutaNirvana,₹63.49 L - 1.06 Cr,"2, 3 BHK"
TheWave,₹1.2 Cr - 1.39 Cr,3 BHK
SriSrinivasaDhruvTranquil,₹50.64 L - 88.32 L,"2, 3 BHK"
VishalSanjivini,₹3.33 Cr - 4.74 Cr,4 BHK
VrindaLuxuryVillas,₹3.04 Cr - 5.15 Cr,"4, 5 BHK"
EIPLCornerstone,₹1.6 Cr - 1.93 Cr,3 BHK
VazhraaPrathik,₹91.62 L - 1.37 Cr,"2, 3 BHK"
MadhuParkville,₹84.66 L - 1.49 Cr,"2, 3 BHK"
SunshineGreenMeadows,₹64.24 L - 85.8 L,"2, 3 BHK"
SuperHomesAbhirama,₹1.49 Cr - 1.68 Cr,3 BHK
LansumElenaResidences,₹2.64 Cr - 3.78 Cr,"3, 4 BHK"
GiridharisVue,₹98.59 L - 1.7 Cr,3 BHK
RisiniaTheTwinz,₹71.22 L - 1.13 Cr,"2, 3 BHK"
ASBLSprings,₹60.49 L - 73.74 L,"2, 3 BHK"
AkruthiStavya,₹66.08 L - 83.44 L,"2, 3 BHK"
ASBLLoft,₹1.8 Cr - 1.98 Cr,3 BHK
RVVibhuman,₹1.08 Cr - 1.53 Cr,"2, 3 BHK"
TrishalaTrilok,₹1.49 Cr - 2.8 Cr,"3, 4 BHK"
AMRLegacy,₹1.27 Cr - 2.66 Cr,3 BHK
VishansCastle,₹57.85 L - 86.1 L,"2, 3 BHK"
AvaniAdvaitha,₹74.24 L - 1.0 Cr,"2, 3 BHK"
NavyaTrinity,₹67.73 L - 99.21 L,"2, 3 BHK"
AnvayaIconCity,₹1.5 Cr - 2.8 Cr,"3, 4.5 BHK"
GREENTECHO2Community,₹2.68 Cr - 4.37 Cr,4 BHK
Vertex33West,₹1.09 Cr - 1.66 Cr,"2, 3 BHK"
MaramMihira,₹59.14 L - 1.17 Cr,"2, 3 BHK"
RajaRoyalOrchids,₹61.07 L - 1.0 Cr,"2, 3 BHK"
RadheySkye,₹96.0 L - 1.71 Cr,"2, 3, 3.5 BHK"
Sunny32Springs,₹1.98 Cr,4 BHK
SVCIndraprastha,₹74.66 L - 1.22 Cr,"2, 3 BHK"
SNRTheElite,₹84.63 L - 1.39 Cr,"2, 3 BHK"
VisionsArsha,₹1.04 Cr - 2.02 Cr,"2, 3, 3.5 BHK"
LevonorEgeira,₹1.02 Cr - 1.76 Cr,3 BHK
RisiniaSkyon,₹79.44 L - 1.28 Cr,"2, 3 BHK"
JainsCentralParkEast,₹82.8 L - 1.33 Cr,"2, 3 BHK"
RidhiraZen,₹1.44 Cr,3 BHK
MerlionGalaxia,₹79.08 L - 1.06 Cr,"2, 3 BHK"
SaanveeCivitas,₹1.01 Cr - 1.62 Cr,"2, 3 BHK"
JAINPRAMUKHSAMRIDDHITOWERS,₹2.35 Cr - 4.72 Cr,"3, 4, 5 BHK"
ArkalaLife,₹56.49 L - 91.23 L,"2, 2.5, 3 BHK"
