,PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
0,"26,000",1,"in Madhapur, Hyderabad",700,Bathrooms1,Fully
1,"60,000",3,"in Kokapet, Hyderabad",2275,,Semi
2,"45,000",3,"in Osman Nagar, Hyderabad",2533,,Fully
3,"1,70,000",3,"in Rai Durg, Hyderabad",2595,,Fully
4,"26,000",1,"in Madhapur, Hyderabad",480,Bathrooms1,Un
5,"26,000",1,"in Madhapur, Hyderabad",520,Bathrooms1,Fully
6,"23,000",1,"in Kondapur, Hyderabad",720,Bathrooms1,Fully
7,"37,500",3,"in Kondapur, Hyderabad",1850,,Semi
8,"40,000",2,"in Madhapur, Hyderabad",1050,Bathrooms2,Fully
9,"65,000",3,"in Banjara Hills, Hyderabad",2425,Bathrooms3,Fully
10,"45,000",3,"in Bairagiguda, Hyderabad",1600,,Semi
11,"21,000",1,"in Kondapur, Hyderabad",560,Bathrooms1,Fully
12,"20,000",1,"in Kondapur, Hyderabad",750,Bathrooms1,Fully
13,"40,000",2,"in Kondapur, Hyderabad",1250,Bathrooms2,Fully
14,"22,003",1,"in Kondapur, Hyderabad",800,Bathrooms1,Semi
15,"40,000",2,"in Kondapur, Hyderabad",1200,Bathrooms2,Fully
16,"50,000",3,"in Borabanda, Hyderabad",2775,,Semi
17,"25,000",1,"in Madhapur, Hyderabad",450,Bathrooms1,Fully
18,"42,000",2,"in Kondapur, Hyderabad",1400,Bathrooms2,Fully
19,"35,000",2,"in Kondapur, Hyderabad",1000,Bathrooms1,Fully
20,"27,000",2,"in Kondapur, Hyderabad",1200,Bathrooms2,Semi
21,"27,000",2,"in Kondapur, Hyderabad",1150,Bathrooms1,Semi
22,"30,000",2,"in Kondapur, Hyderabad",1400,Bathrooms1,Semi
23,"32,000",2,"in Hitech City, Hyderabad",1200,Bathrooms2,Semi
24,"26,000",2,"in Kondapur, Hyderabad",1150,Bathrooms1,Semi
25,"36,000",3,"in Kondapur, Hyderabad",1700,Bathrooms3,Semi
26,"26,000",2,"in Kondapur, Hyderabad",1400,Bathrooms1,Semi
27,"20,000",1,"in Kondapur, Hyderabad",500,Bathrooms1,Semi
28,"42,000",3,"in Kondapur, Hyderabad",1700,,Semi
29,"1,10,000",3,"in Gachibowli, Hyderabad",2710,,Semi
30,"36,000",2,"in Madhapur, Hyderabad",1050,Bathrooms2,Fully
31,"18,500",1,"in Kondapur, Hyderabad",750,Bathrooms1,Semi
32,"23,000",1,"in Kondapur, Hyderabad",720,Bathrooms1,Fully
33,"16,500",1,"in Kondapur, Hyderabad",720,Bathrooms1,Semi
34,"37,500",3,"in Kondapur, Hyderabad",1850,,Semi
35,"42,000",2,"in Kondapur, Hyderabad",1400,Bathrooms2,Fully
36,"40,000",2,"in Kondapur, Hyderabad",1400,Bathrooms2,Fully
37,"45,000",3,"in Kondapur, Hyderabad",2100,Bathrooms3,Semi
38,"43,000",3,"in Kothaguda, Hyderabad",1950,Bathrooms3,Fully
39,"17,000",1,"in Kondapur, Hyderabad",740,Bathrooms1,Semi
40,"26,500",2,"in Kondapur, Hyderabad",1350,Bathrooms2,Semi
41,"28,500",2,"in Serilingampally, Hyderabad",1410,Bathrooms2,Semi
42,"38,000",3,"in Kondapur, Hyderabad",1850,Bathrooms3,Semi
43,"45,000",3,"in Bairagiguda, Hyderabad",1600,,Semi
44,"17,000",1,"in Kondapur, Hyderabad",720,Bathrooms1,Semi
45,"21,000",1,"in Kondapur, Hyderabad",560,Bathrooms1,Fully
46,"20,000",1,"in Kondapur, Hyderabad",750,Bathrooms1,Fully
47,"20,000",1,"in Kondapur, Hyderabad",760,Bathrooms1,Semi
48,"38,000",3,"in Serilingampally, Hyderabad",1800,Bathrooms2,Semi
49,"35,000",2,"in Kondapur, Hyderabad",1000,Bathrooms1,Fully
50,"28,000",2,"in Kondapur, Hyderabad",1210,Bathrooms1,Semi
51,"25,000",2,"in Kondapur, Hyderabad",1150,Bathrooms2,Semi
52,"27,000",2,"in Kondapur, Hyderabad",1200,Bathrooms2,Semi
53,"26,000",2,"in Kondapur, Hyderabad",1250,Bathrooms2,Semi
54,"40,000",2,"in Kondapur, Hyderabad",1250,Bathrooms2,Fully
55,"27,000",2,"in Kondapur, Hyderabad",1150,Bathrooms2,Semi
56,"32,000",3,"in Kondapur, Hyderabad",1850,Bathrooms2,Semi
57,"27,000",2,"in Kondapur, Hyderabad",1150,Bathrooms1,Semi
58,"26,000",2,"in Kondapur, Hyderabad",1150,Bathrooms1,Semi
59,"35,000",3,"in Kondapur, Hyderabad",1850,Bathrooms2,Semi
60,"28,000",2,"in Kondapur, Hyderabad",1250,Bathrooms1,Semi
61,"30,000",3,"in Kondapur, Hyderabad",1850,Bathrooms2,Semi
62,"30,000",2,"in Kondapur, Hyderabad",1500,Bathrooms2,Semi
63,"38,000",3,"in Serilingampally, Hyderabad",1850,Bathrooms2,Semi
64,"40,000",3,"in Kondapur, Hyderabad",1800,Bathrooms3,Semi
65,"36,000",3,"in Kondapur, Hyderabad",1700,Bathrooms3,Semi
66,"16,500",1,"in Kondapur, Hyderabad",750,Bathrooms1,Semi
67,"32,000",3,"in Kondapur, Hyderabad",1650,Bathrooms3,Semi
68,"18,000",1,"in Kondapur, Hyderabad",750,Bathrooms1,Semi
69,"17,000",1,"in Kondapur, Hyderabad",700,Bathrooms1,Semi
70,"40,000",3,"in Kondapur, Hyderabad",1750,Bathrooms3,Semi
71,"32,000",3,"in Kondapur, Hyderabad",1625,Bathrooms3,Semi
72,"24,000",2,"in Kondapur, Hyderabad",1235,Bathrooms2,Semi
73,"16,500",1,"in Kondapur, Hyderabad",725,,Semi
74,"32,000",3,"in Kondapur, Hyderabad",1725,Bathrooms3,Semi
75,"31,000",3,"in Kondapur, Hyderabad",1712,Bathrooms3,Semi
76,"30,000",2,"in Kondapur, Hyderabad",1250,Bathrooms2,Semi
77,"38,000",2,"in Kondapur, Hyderabad",1150,Bathrooms2,Fully
78,"29,000",2,"in Kondapur, Hyderabad",1250,Bathrooms2,Semi
79,"28,000",2,"in Kondapur, Hyderabad",1250,Bathrooms2,Semi
80,"30,000",2,"in Kondapur, Hyderabad",1525,Bathrooms2,Semi
81,"28,000",2,"in Kondapur, Hyderabad",1230,Bathrooms2,Semi
82,"23,500",1,"in Kondapur, Hyderabad",720,Bathrooms1,Fully
83,"30,000",2,"in Kondapur, Hyderabad",1400,Bathrooms1,Semi
84,"48,000",3,"in Kondapur, Hyderabad",2800,Bathrooms2,Fully
85,"20,002",1,"in Kondapur, Hyderabad",700,Bathrooms1,Fully
86,"22,003",1,"in Kondapur, Hyderabad",800,Bathrooms1,Semi
87,"26,000",2,"in Kondapur, Hyderabad",1400,Bathrooms1,Semi
88,"35,000",2,"in Kondapur, Hyderabad",1400,Bathrooms1,Fully
89,"27,000",2,"in Kondapur, Hyderabad",1600,Bathrooms1,Semi
90,"25,000",2,"in Kondapur, Hyderabad",1800,Bathrooms1,Semi
91,"45,000",3,"in Kondapur, Hyderabad",1712,Bathrooms3,Fully
92,"18,000",1,"in Kondapur, Hyderabad",600,Bathrooms1,Semi
93,"18,000",1,"in Kondapur, Hyderabad",600,Bathrooms1,Semi
94,"26,000",2,"in Kondapur, Hyderabad",1200,Bathrooms1,Semi
95,"20,001",1,"in Kondapur, Hyderabad",650,Bathrooms1,Fully
96,"20,000",1,"in Kondapur, Hyderabad",700,Bathrooms1,Fully
97,"34,000",3,"in Kondapur, Hyderabad",1900,Bathrooms3,Semi
98,"40,000",2,"in Kondapur, Hyderabad",1200,Bathrooms2,Fully
99,"27,000",1,"in Kondapur, Hyderabad",700,Bathrooms1,Fully
100,"27,000",1,"in Kondapur, Hyderabad",700,Bathrooms1,Fully
