PRICE,BHK,LOCATION,AREA,BATHROOMS,FURNISH
26000,1,"in Madhapur, Hyderabad",700,Bathrooms1,Fully
26000,1,"in Madhapur, Hyderabad",480,Bathrooms1,Un
26000,1,"in Madhapur, Hyderabad",520,Bathrooms1,Fully
23000,1,"in Kondapur, Hyderabad",720,Bathrooms1,Fully
40000,2,"in Madhapur, Hyderabad",1050,Bathrooms2,Fully
65000,3,"in Banjara Hills, Hyderabad",2425,Bathrooms3,Fully
21000,1,"in Kondapur, Hyderabad",560,Bathrooms1,Fully
20000,1,"in Kondapur, Hyderabad",750,Bathrooms1,Fully
40000,2,"in Kondapur, Hyderabad",1250,Bathrooms2,Fully
22003,1,"in Kondapur, Hyderabad",800,Bathrooms1,Semi
40000,2,"in Kondapur, Hyderabad",1200,Bathrooms2,Fully
25000,1,"in Madhapur, Hyderabad",450,Bathrooms1,Fully
42000,2,"in Kondapur, Hyderabad",1400,Bathrooms2,Fully
35000,2,"in Kondapur, Hyderabad",1000,Bathrooms1,Fully
27000,2,"in Kondapur, Hyderabad",1200,Bathrooms2,Semi
27000,2,"in Kondapur, Hyderabad",1150,Bathrooms1,Semi
30000,2,"in Kondapur, Hyderabad",1400,Bathrooms1,Semi
32000,2,"in Hitech City, Hyderabad",1200,Bathrooms2,Semi
26000,2,"in Kondapur, Hyderabad",1150,Bathrooms1,Semi
36000,3,"in Kondapur, Hyderabad",1700,Bathrooms3,Semi
26000,2,"in Kondapur, Hyderabad",1400,Bathrooms1,Semi
20000,1,"in Kondapur, Hyderabad",500,Bathrooms1,Semi
36000,2,"in Madhapur, Hyderabad",1050,Bathrooms2,Fully
18500,1,"in Kondapur, Hyderabad",750,Bathrooms1,Semi
16500,1,"in Kondapur, Hyderabad",720,Bathrooms1,Semi
40000,2,"in Kondapur, Hyderabad",1400,Bathrooms2,Fully
45000,3,"in Kondapur, Hyderabad",2100,Bathrooms3,Semi
43000,3,"in Kothaguda, Hyderabad",1950,Bathrooms3,Fully
17000,1,"in Kondapur, Hyderabad",740,Bathrooms1,Semi
26500,2,"in Kondapur, Hyderabad",1350,Bathrooms2,Semi
28500,2,"in Serilingampally, Hyderabad",1410,Bathrooms2,Semi
38000,3,"in Kondapur, Hyderabad",1850,Bathrooms3,Semi
17000,1,"in Kondapur, Hyderabad",720,Bathrooms1,Semi
20000,1,"in Kondapur, Hyderabad",760,Bathrooms1,Semi
38000,3,"in Serilingampally, Hyderabad",1800,Bathrooms2,Semi
28000,2,"in Kondapur, Hyderabad",1210,Bathrooms1,Semi
25000,2,"in Kondapur, Hyderabad",1150,Bathrooms2,Semi
26000,2,"in Kondapur, Hyderabad",1250,Bathrooms2,Semi
27000,2,"in Kondapur, Hyderabad",1150,Bathrooms2,Semi
32000,3,"in Kondapur, Hyderabad",1850,Bathrooms2,Semi
35000,3,"in Kondapur, Hyderabad",1850,Bathrooms2,Semi
28000,2,"in Kondapur, Hyderabad",1250,Bathrooms1,Semi
30000,3,"in Kondapur, Hyderabad",1850,Bathrooms2,Semi
30000,2,"in Kondapur, Hyderabad",1500,Bathrooms2,Semi
38000,3,"in Serilingampally, Hyderabad",1850,Bathrooms2,Semi
40000,3,"in Kondapur, Hyderabad",1800,Bathrooms3,Semi
16500,1,"in Kondapur, Hyderabad",750,Bathrooms1,Semi
32000,3,"in Kondapur, Hyderabad",1650,Bathrooms3,Semi
18000,1,"in Kondapur, Hyderabad",750,Bathrooms1,Semi
17000,1,"in Kondapur, Hyderabad",700,Bathrooms1,Semi
40000,3,"in Kondapur, Hyderabad",1750,Bathrooms3,Semi
32000,3,"in Kondapur, Hyderabad",1625,Bathrooms3,Semi
24000,2,"in Kondapur, Hyderabad",1235,Bathrooms2,Semi
32000,3,"in Kondapur, Hyderabad",1725,Bathrooms3,Semi
31000,3,"in Kondapur, Hyderabad",1712,Bathrooms3,Semi
30000,2,"in Kondapur, Hyderabad",1250,Bathrooms2,Semi
38000,2,"in Kondapur, Hyderabad",1150,Bathrooms2,Fully
29000,2,"in Kondapur, Hyderabad",1250,Bathrooms2,Semi
